nombre,apellidos,nif,telefono,email,categoria,description,urgencia,fecha,direccion_persona,ubicacion_incidencia
Rubén,Herrera Gutiérrez,37595201E,777365314,ruben_herrera16@hotmail.com,Parques y Jardines,"Un álamo blanco enorme a caido completamente en el Parque de la Paz, bloqueando el camino principal y la zona de paseo de mascotas. Es imposible pasar.",5,2026-01-05T06:11:21+01:00,"Calle Recogidas 1, 6ºA, 18012 Granada","37.194672, -3.607748 - Al lado del contenedor de reciclaje"
Javier,Alonso Navarro,93924538J,940971550,javier_alonso78@hotmail.com,Alumbrado Público,"La farola de la Avenida Constitucion numero 45 está fundida hace dias, pero hay otras cercanas iluminando. Se ve por la zona pero no es lo ideal.",2,2026-01-05T13:05:41+01:00,"Calle Profesor Emilio Orozco 108, 1ºA, 18006 Granada","37.194850, -3.592257 - Junto al paso de peatones"
Irene,Marín Martínez,20349026Y,728093335,irene.marin748@gmail.com,Alumbrado Público,"Las farolas entre la Calle Real y la Plazuela de los Mártires están todas apagadas, unos 8 o 9 postes sin luz. La calle esta muy obscura y peligrosa para circular.",4,2026-01-05T13:12:46+01:00,"Calle Alhamar 52, 1ºA, 18014 Granada","37.155663, -3.594040 - Frente a la farmacia"
Rocío,Flores Hernández,29418782B,932224342,rocio.flores.hernandez@hotmail.es,Movilidad,"Varios baches peqeños en la calle Ángel Ganivet, entre la Catedral y San Agustín. Hay que tener mucho cuidado en moto.",2,2026-01-06T05:06:48+01:00,"Calle Obispo Hurtado 86, Ático, 18004 Granada","37.168233, -3.588648 - Frente a la farmacia"
Lucía,Jiménez Herrera,30487400A,978594567,lucia.jimenez126@gmail.com,Movilidad,El semáforo principal de la Avenida del Hospicio lleva tres días parpadeando en amarillo constante. Los coches avanzan sin control.,4,2026-01-06T11:52:00+01:00,"Calle Zacatín 19, 1ºC, 18002 Granada","37.197027, -3.616719 - En la acera derecha"
Sergio,Rodríguez Navarro,96770411G,775409301,srodriguez881@gmail.com,Movilidad,Grieta grande que se expande en la Cuesta del Chapiz. La asfaltadora paso hace poco pero no sirvió de nada.,3,2026-01-06T13:15:11+01:00,"Calle Duquesa 55, 6ºA, 18005 Granada","37.188552, -3.621937 - En la acera izquierda"
Andrea,Ruiz Medina,27696965C,780287152,andrea.ruiz.medina@hotmail.es,Alumbrado Público,"Farola en la Calle Monjas con luz muy tenue, apenas ilumina el suelo. Hay q arreglarlo pronto porque es complicado ver bien.",1,2026-01-06T16:52:29+01:00,"Calle Mesones 69, 5ºB, 18007 Granada","37.181743, -3.597340 - Frente a la iglesia"
Silvia,Hernández Cano,43513789C,674741268,silviahernandez887@gmail.com,Alumbrado Público,"Un cable electrico fracturado pende de una farola en la Ronda Sur, muy cerca del paso de peatones. Es un peligro immediato para cualquiera.",5,2026-01-06T23:48:32+01:00,"Calle Zacatín 90, 5ºB, 18006 Granada","37.156909, -3.588176 - Bajo la marquesina del autobús"
Carlos,Marín Sánchez,13985317Y,655907556,carlos_marin71@hotmail.com,Movilidad,"Poste de señalización torcido pero legible en la esquina de Ronda de Levante. Aunque no es urgente, algun día podria caerse.",2,2026-01-07T07:56:55+01:00,"Calle Mesones 95, 1ºB, 18004 Granada","37.183329, -3.579818 - En la acera izquierda"
Beatriz,Domínguez Torres,56991860E,679643794,beatrizdominguez251@gmail.com,Limpieza,Papeles de propaganda politica dispersos en toda la calle Alhacaba. No son muchos pero desordenan visualmente la zona.,1,2026-01-07T09:12:48+01:00,"Calle Obispo Hurtado 89, 1ºD, 18014 Granada","37.179705, -3.614359 - Cerca del cruce con Calle Severo Ochoa"
Sara,Cortés Ramos,53880651T,613333000,sara.cortes141@gmail.com,Movilidad,Semáforo completamente apagado en el cruce de Calle Recogidas y Avenida de la Paz durante las horas punta. Ya hubo un choque hace dos días.,5,2026-01-07T11:12:06+01:00,"Calle Real de Cartuja 7, 2ºC, 18013 Granada","37.168947, -3.586564 - En la esquina con Plaza de Mariana Pineda"
Josefa,López Núñez,97922880N,995233260,josefalopez760@gmail.com,Limpieza,"El contenedor marron de la calle San Antón esta a punto de reventar, con cajas de cartón saliendo por los lados. Deberia haberse recogido ayer.",2,2026-01-07T17:18:49+01:00,"Calle Severo Ochoa 63, Ático, 18004 Granada","37.177739, -3.611860 - En la mediana de la avenida"
Carmen,Romero Ruiz,79054909E,736926980,carmen.romero411@hotmail.es,Movilidad,La línea blanca de carril en Paseo de los Mártires está casi borrada. Los conductores no saben bien dónde termina cada vía.,1,2026-01-08T08:42:01+01:00,"Calle Pedro Antonio de Alarcón 61, 6ºA, 18011 Granada","37.182858, -3.619366 - En la mediana de la avenida"
María,Flores Garrido,48257716J,926055999,maria.flores.garrido@hotmail.es,Alumbrado Público,Varias farolas fundidas en el tramo de Calle Reyes Católicos entre Puerta Real y la Avenida de la República. Unos 5 o 6 postes sin luz hacen que oscurezca mucho.,3,2026-01-08T10:49:52+01:00,"Calle San Juan de Dios 64, 4ºA, 18003 Granada","37.164870, -3.599595 - Frente a la farmacia"
Raquel,Serrano Marín,34813435Z,685371292,raquel.serrano536@outlook.es,Limpieza,"Residuos de una escombrera ilegal acumulados hace una semana en el solar de la Calle Tablas. Hay escombros, trozos de hormigon y hierros oxidados.",3,2026-01-08T17:17:59+01:00,"Calle Gracia 31, 4ºB, 18010 Granada","37.164531, -3.570481 - Frente al portal 69"
Josefa,Romero Gómez,85683345L,729084723,josefa.romero.gomez@gmail.com,Limpieza,"Se detecto un derrame de gasoleo en la Calle Salitre, cerca de un talier de reparacion de vehiculos. El liquido corre hacia la alcantarilla.",4,2026-01-08T19:26:39+01:00,"Calle Puentezuelas 112, 2ºC, 18007 Granada","37.163566, -3.599580 - Junto a la fuente"
Beatriz,Prieto Vázquez,37836139N,969965128,beatriz.prieto.vazquez@hotmail.com,Mobiliario Urbano,"Papelera publica Paseo del Salon abollada lateralmente, con tapa rota. Funcionalmente inutilizada.",1,2026-01-08T23:03:19+01:00,"Paseo de los Tristes 98, 3ºA, 18014 Granada","37.174562, -3.583476 - Junto al parque infantil"
Teresa,López Guerrero,70454340G,654625037,teresa.lopez.guerrero@live.com,Alumbrado Público,"La farola junto al parque de los Mártires está muy debil, apenas se ve nada. Deberían revisar porque la bombilla debe tener problemas.",1,2026-01-09T03:49:04+01:00,"Calle Reyes Católicos 42, 3ºC, 18003 Granada","37.187698, -3.615129 - A la altura del número 4"
Elena,Garrido León,48676212R,653614964,elena.garrido.leon@hotmail.es,Mobiliario Urbano,Poste de señaletica metalico en Acera del Darro con tornillos sueltos y oxidacion avanzada. Estructura inestable y peligrosa.,5,2026-01-09T05:46:09+01:00,"Avenida de la Constitución 88, 1ºD, 18005 Granada","37.195767, -3.619949 - Bajo la marquesina del autobús"
Marta,González Prieto,64394896W,671189835,marta.gonzalez844@gmail.com,Alumbrado Público,Hace un mes que la farola de Camino de Ronda numero 12 no funciona. No hay otras luces cerca y es muy peligroso pasar por alli de noche.,2,2026-01-09T06:54:51+01:00,"Paseo de los Tristes 15, Ático, 18005 Granada","37.176682, -3.582014 - Al lado del contenedor de reciclaje"
Álvaro,Sánchez León,46786371R,790393444,alvaro.sanchez752@gmail.com,Parques y Jardines,El prado central del parque García Lorca tiene el pasto muy crecido y sin segar en varias semanas. Parece un campo sin cultivar.,1,2026-01-09T15:52:17+01:00,"Calle Arabial 83, 4ºC, 18010 Granada","37.191652, -3.599584 - Cerca del cruce con Avenida de la Constitución"
Francisco,Flores Molina,48531161B,749368287,franciscoflores552@outlook.es,Movilidad,"Bache mediano en Calle Zacatín, justo en la zona de carga y descarga. Los repartidores tienen que aller muy lento.",2,2026-01-09T23:39:11+01:00,"Calle Duquesa 119, Bajo A, 18005 Granada","37.168840, -3.624551 - En la acera izquierda"
Ana,Díaz Garrido,45317119N,921291950,ana.diaz155@gmail.com,Alumbrado Público,"Las farolas de toda la Calle Elvira estan apagadas, desde la iglesia asta el cruce con Calle Navas. La calle esta completamente a oscuras y no se puede ni pasar.",4,2026-01-10T04:01:57+01:00,"Calle Sierpe 58, 2ºB, 18009 Granada","37.193958, -3.581900 - Junto al colegio"
David,Blanco Iglesias,17530590J,994597000,david.blanco.iglesias@live.com,Parques y Jardines,Hay varios bancos de piedra en el Paseo del Salon con tablones de madera suelta. Es peligroso sentarse porque se puede caer.,2,2026-01-10T04:30:47+01:00,"Paseo del Salón 4, Bajo A, 18004 Granada","37.199951, -3.618064 - Junto al colegio"
Diego,Calvo Cano,47864533S,794751863,diego_calvo74@gmail.com,Movilidad,"Semaforo de tráfico en Avenida de la República Argentina hace contactos raros, a veces se queda en rojo durante minutos.",3,2026-01-10T13:28:31+01:00,"Calle Recogidas 53, 4ºA, 18009 Granada","37.157802, -3.623946 - Frente al supermercado"
Enrique,Gómez Rodríguez,44165960A,916191910,egomez978@gmail.com,Alumbrado Público,"Farola con destello irregular en Avenida de Andalucia, prende y apaga constantemente. Lucir tenue cuando funciona, debe tener problemas en la instalacion.",1,2026-01-10T14:43:45+01:00,"Calle Alcaicería 44, 1ºB, 18013 Granada","37.161031, -3.572404 - Junto a la fuente"
Javier,Gil Rodríguez,73467918F,684514558,javier.gil.rodriguez@outlook.es,Alumbrado Público,"Cable electrico caido sobre la calle en la Ronda Nord, conectado a una farola rota. Hay peligro de electrocution para los peatones y los coches.",5,2026-01-10T19:25:51+01:00,"Calle Navas 1, 4ºC, 18009 Granada","37.182836, -3.580045 - Junto al quiosco de prensa"
Rafael,Marín Calvo,74282309Z,753923847,rafaelmarin788@gmail.com,Movilidad,Socavón peligroso en la vía principal de acceso a la Universidad de Granada. Se está haciendo mayor cada semana por la lluvia.,5,2026-01-10T21:50:45+01:00,"Avenida de Madrid 48, 5ºB, 18010 Granada","37.157609, -3.580607 - Frente a la iglesia"
Pilar,Calvo Gil,48515350R,677801383,pcalvo509@hotmail.com,Mobiliario Urbano,Banco junto Catedral con múltiples tablones de madera rotos y pintura descascarada. Estructura comprometida para sentarse.,2,2026-01-11T00:15:47+01:00,"Calle Alcaicería 34, Bajo B, 18007 Granada","37.179416, -3.593763 - En la rotonda"
Andrés,Rivera Jiménez,18231740P,747412429,andres.rivera.jimenez@gmail.com,Limpieza,"Contenedores de residuos biosanitarios rotos y abandonados junto al Colegio Publico Maria Inmaculada, con posible material contaminado a la vista.",5,2026-01-11T09:58:36+01:00,"Camino de Ronda 57, 3ºB, 18009 Granada","37.176566, -3.618936 - En la acera izquierda"
Andrea,Gómez Flores,61621331F,916406919,andrea_gomez61@gmail.com,Movilidad,Señal de prohibido estacionar decolorada en Calle Elvira. Se ve a medias pero cualquiera que no conosca la zona puede confundirse.,1,2026-01-12T01:34:20+01:00,"Calle Molinos 60, 1ºB, 18008 Granada","37.177240, -3.620837 - En la rotonda"
Sara,Torres Álvarez,56080655P,696875802,sara.torres.alvarez@gmail.com,Mobiliario Urbano,Reja protectora árbol Plaza Mariana Pineda completamente doblada hacia adentro. Danado y sin utilidad.,2,2026-01-12T02:10:40+01:00,"Calle Arabial 106, 3ºB, 18005 Granada","37.160050, -3.575831 - Junto al paso de peatones"
María,Torres López,83516894F,723976706,maria.torres.lopez@gmail.com,Limpieza,Bolsitas de perro sin recoger en la acera del Paseo del Salón. Hay unos 4-5 montoncillos pequeños pero visibles.,1,2026-01-12T04:36:14+01:00,"Calle Tinajilla 19, 1ºD, 18015 Granada","37.169756, -3.576506 - En la acera izquierda"
Álvaro,Jiménez Romero,56625976E,735768269,alvarojimenez337@live.com,Alumbrado Público,"Dos farolas fundidas consecutivas en Calle Tablas, justo en la curva peligrosa. Aunque hay otra cerca, ese tramo queda bastante obscuro.",3,2026-01-12T06:11:15+01:00,"Calle Tablas 24, 1ºC, 18004 Granada","37.168974, -3.620477 - En la acera derecha"
Elena,Ruiz Sánchez,68234252Z,925755187,elena_ruiz87@yahoo.es,Limpieza,El contenedor de vidrio de la Plaza Bib-Rambla está lleno con botellas por recoger. Aun queda espacio pero necesita vaciarse en dos días.,2,2026-01-12T06:26:55+01:00,"Acera del Darro 23, 5ºA, 18003 Granada","37.191125, -3.616691 - En la acera izquierda"
Sofía,Hernández Núñez,86869248L,647278362,shernandez433@live.com,Movilidad,Bache pequeño en Camino de Ronda pero hay mucho tráfico en esa zona. Los buses tienen que frenar bruscamente.,2,2026-01-12T12:35:30+01:00,"Carrera del Darro 39, 2ºB, 18006 Granada","37.190338, -3.571360 - Frente al portal 56"
Amparo,Ramírez Cortés,49242623Z,616984940,amparo.ramirez870@live.com,Limpieza,Basura domestica sin recoger hace 3 días en varias aceras de la Calle Recogidas. Bolsas rotas dejando ver restos de comida podrida.,3,2026-01-12T23:10:14+01:00,"Calle Profesor Emilio Orozco 33, 3ºD, 18014 Granada","37.178571, -3.621932 - Junto a la parada de autobús"
Miguel,Vázquez Navarro,75941306K,678195248,miguel.vazquez.navarro@gmail.com,Limpieza,Vertido de pintura industrial en la via publica junto a la puerta de un taller de reformas en calle Panaderos. Mancha extensa que se endurece.,4,2026-01-13T00:54:29+01:00,"Calle Alhamar 60, 3ºA, 18005 Granada","37.173134, -3.617389 - Frente a la farmacia"
Esperanza,Pérez Vázquez,98281609X,973526206,esperanza.perez.vazquez@gmail.com,Parques y Jardines,La tuberia de riego del jardin botánico está dañada en varios puntos. Los rosales y las plantas de sombra no reciben agua suficiente.,3,2026-01-13T05:02:44+01:00,"Avenida de la Constitución 14, 2ºB, 18002 Granada","37.163464, -3.589627 - Frente a la iglesia"
Antonio,Delgado Muñoz,91783605N,712887221,antonio_delgado57@hotmail.com,Mobiliario Urbano,Marquesina parada autobus Calle Recogidas con marco de aluminio deformado y cristales multiplos rotos. Cristales caen del techo.,4,2026-01-13T06:14:16+01:00,"Carrera del Darro 99, 6ºA, 18010 Granada","37.187814, -3.620610 - Frente al supermercado"
Esperanza,Rubio Alonso,43001710J,984774788,erubio826@hotmail.es,Parques y Jardines,En el Parque de la Fuensanta hay ramas gruesas del eucalipto que penden sobre los bancos donde la gente se sientta. Parece que van a caer en cualquier momento.,4,2026-01-13T12:19:15+01:00,"Calle Severo Ochoa 33, 2ºB, 18014 Granada","37.179564, -3.572664 - Junto al colegio"
Elena,Moreno Moreno,52258658J,759403858,elena.moreno956@gmail.com,Otros,Venta ambulante sin autorizacion de bebidas alcohólicas en plazuela de Aliatar. El vendedor agresivo.,2,2026-01-13T15:52:00+01:00,"Plaza Bib-Rambla 44, 2ºA, 18004 Granada","37.182751, -3.595631 - Junto a la fuente"
Rafael,Álvarez Martínez,43622569X,927644299,ralvarez931@live.com,Parques y Jardines,"El cesped del Parque Metropolitano está totalmente sin cortar, mide mas de 20 cm de altura. Hay mala hierba por todas partes.",1,2026-01-13T18:02:18+01:00,"Calle Doctor Olóriz 67, 1ºC, 18003 Granada","37.187922, -3.620325 - Junto a la parada de autobús"
Enrique,Hernández Iglesias,42662029L,968310719,enrique_hernandez95@gmail.com,Movilidad,El semaforo de peatones en la Puerta Real esta intermitente y no cambia de fase correctamente. Los niños no saben cuando cruzar.,3,2026-01-14T00:51:05+01:00,"Plaza de Mariana Pineda 62, 4ºC, 18015 Granada","37.189374, -3.593460 - Al lado del contenedor de reciclaje"
Rubén,Díaz Delgado,21327307M,926576344,ruben_diaz92@gmail.com,Parques y Jardines,Un banco en el jardín de Alixares tiene un lateral roto con clavos salientes que puede causar heridas. Necesita reparación urgente.,2,2026-01-14T02:00:17+01:00,"Paseo de los Tristes 24, 2ºD, 18004 Granada","37.169013, -3.591059 - Frente a la farmacia"
Sofía,Sánchez Flores,20912654L,771101083,sofia.sanchez.flores@gmail.com,Parques y Jardines,El sistema de riego por goteo en el Parque de las Ciencias no funciona correctamente desde hace diez días. Los arbustos ornamentales se estan muriendo.,3,2026-01-14T07:28:41+01:00,"Calle Alcaicería 52, 3ºD, 18014 Granada","37.190555, -3.619738 - Junto a la fuente"
Iván,Álvarez Delgado,86603500J,621744285,ivan_alvarez17@hotmail.com,Movilidad,"Hundimiento importante de la calzada en Avenida Fuerzas Armadas, justo en la zona donde pasan los autobuses urbanos. Es un peligro inmediato.",5,2026-01-14T14:05:18+01:00,"Calle Navas 93, 1ºA, 18013 Granada","37.187887, -3.588840 - Frente a la iglesia"
Pedro,Marín Medina,92011583Z,665972560,pedro.marin.medina@live.com,Limpieza,Bultos con apariencia de residuos electronicos desmantelados (metales pesados) estan en la entrada del colegio concertado San Juan de Dios. Hay partes sueltas a alcance de menores.,5,2026-01-14T15:46:07+01:00,"Avenida de Madrid 99, 1ºC, 18013 Granada","37.180261, -3.587651 - Frente al supermercado"
Miguel,Núñez Gallego,34299632P,926625903,miguel.nunez.gallego@yahoo.es,Limpieza,"Papeles de golosina esparcidos en la acera de la Calle Reyes Católicos, justo frente a la entrada principal. Estan ahi desde hace 2 dias y la gente pasa pisandolos.",1,2026-01-14T21:14:05+01:00,"Calle Tinajilla 83, 1ºC, 18007 Granada","37.168813, -3.574482 - En la acera derecha"
Inés,León Rivera,95477268J,633157604,ines_leon52@live.com,Parques y Jardines,Hay una rama muy grande del roble en el Parque de los Martires que amenaza con caerse sobre la zona de juegos. Ay mucho riesgo para los niños.,4,2026-01-15T01:02:05+01:00,"Calle Obispo Hurtado 13, 3ºC, 18005 Granada","37.165934, -3.616465 - Cerca del cruce con Calle Molinos"
Sara,Prieto Calvo,70238054X,674110154,sara.prieto.calvo@outlook.es,Alumbrado Público,"La farola de la Plazuela del Carmen brilla muy poco, apenas illuminate el area. Es insuficiente para la seguridad de los que pasan por alli.",1,2026-01-15T05:33:14+01:00,"Calle Puentezuelas 50, Bajo A, 18001 Granada","37.199551, -3.610071 - Frente al supermercado"
Raquel,Torres Alonso,58928377P,982973235,raquel_torres26@outlook.es,Alumbrado Público,"La farola numero 47 de la Avenida del Jesuita esta apagada hace semanas. Afortunadamente hay otra no muy lejos, pero aun asi es molesto.",2,2026-01-15T13:01:48+01:00,"Avenida de la Constitución 62, 3ºC, 18013 Granada","37.170587, -3.594601 - Junto a la fuente"
Josefa,Álvarez Castillo,41431307G,953524709,josefa_alvarez34@live.com,Limpieza,"El contenedor de la Avenida del Camino de Ronda está prácticamente lleno, hay bolsas alrededor pero no se ha desbordado aún. Necesita recogida urgente.",2,2026-01-15T14:02:46+01:00,"Carrera del Darro 43, 2ºD, 18003 Granada","37.176679, -3.578499 - Frente a la iglesia"
